order_id,product_id,quantity,unit_price,discount
1,112,2,111.9,0.0
1,20,3,104.44,0.15
1,43,4,194.97,0.0
1,11,1,218.49,0.0
1,75,4,66.25,0.15
2,24,4,6.44,0.0
2,28,2,94.22,0.0
2,44,2,181.02,0.0
3,5,2,210.97,0.1
3,85,4,21.51,0.0
3,44,2,181.02,0.0
3,113,2,185.96,0.15
3,99,4,6.31,0.0
4,30,4,432.29,0.0
4,69,3,303.67,0.15
4,31,4,128.75,0.05
4,40,3,130.65,0.05
5,120,1,109.63,0.0
5,14,1,9.1,0.0
5,92,3,203.19,0.05
5,109,2,334.93,0.05
5,67,1,47.51,0.0
6,48,2,41.3,0.0
7,90,4,95.93,0.05
7,107,1,17.74,0.0
7,18,1,146.24,0.0
7,98,2,19.56,0.0
8,31,1,128.75,0.0
8,39,4,391.17,0.15
8,16,4,41.29,0.0
9,1,4,173.31,0.0
9,79,1,128.37,0.1
9,46,3,109.92,0.0
9,31,1,128.75,0.05
10,31,1,128.75,0.1
10,94,3,152.29,0.0
10,85,1,21.51,0.0
11,5,2,210.97,0.0
11,38,3,18.01,0.0
11,26,4,144.67,0.1
11,6,4,49.95,0.0
12,16,4,41.29,0.05
12,103,4,82.31,0.05
12,48,3,41.3,0.0
13,70,3,117.08,0.0
13,38,1,18.01,0.0
14,79,1,128.37,0.0
14,56,4,89.71,0.0
14,36,2,128.92,0.0
15,9,3,92.79,0.0
15,31,4,128.75,0.1
16,68,4,62.0,0.0
16,47,3,34.73,0.0
17,91,3,189.69,0.15
17,58,4,247.78,0.0
17,28,1,94.22,0.0
18,71,3,458.78,0.0
19,47,3,34.73,0.05
20,99,1,6.31,0.0
20,53,3,64.96,0.15
20,106,1,44.44,0.05
20,74,4,124.34,0.15
21,107,1,17.74,0.1
22,45,3,115.78,0.0
22,67,3,47.51,0.0
23,69,2,303.67,0.0
23,12,3,39.39,0.1
23,65,1,58.76,0.0
23,83,1,23.92,0.0
23,22,3,442.39,0.15
24,62,4,84.46,0.0
24,32,4,94.69,0.0
24,104,1,40.35,0.0
25,94,4,152.29,0.0
25,111,3,166.92,0.1
25,45,1,115.78,0.0
26,111,2,166.92,0.0
26,79,3,128.37,0.0
26,54,2,29.0,0.05
26,32,4,94.69,0.05
27,7,4,86.33,0.0
27,37,1,248.4,0.0
27,64,4,15.03,0.0
28,37,3,248.4,0.1
28,10,1,20.11,0.0
28,50,1,63.25,0.05
28,65,3,58.76,0.0
28,58,3,247.78,0.0
29,67,2,47.51,0.0
29,59,3,246.11,0.0
29,20,4,104.44,0.1
29,78,3,103.04,0.1
30,87,3,139.22,0.15
30,15,1,73.11,0.1
30,54,4,29.0,0.0
31,75,4,66.25,0.0
32,41,2,20.64,0.05
32,54,4,29.0,0.15
32,20,1,104.44,0.15
32,53,2,64.96,0.1
33,117,3,171.89,0.15
33,69,3,303.67,0.1
33,44,4,181.02,0.0
33,70,2,117.08,0.0
