shipment_id,order_id,warehouse,carrier,shipped_date,delivered_date
1,1,CLT-03,UPS,2025-03-26 23:54:00,2025-03-28 23:54:00
2,3,CLT-03,FedEx,2025-10-06 03:32:00,2025-10-09 03:32:00
3,4,ATL-01,FedEx,2025-06-02 09:48:00,2025-06-04 09:48:00
4,5,ATL-01,DHL,2025-03-11 20:30:00,2025-03-14 20:30:00
5,6,CLT-03,USPS,2025-05-13 11:15:00,2025-05-14 11:15:00
6,8,CLT-03,UPS,2025-10-28 19:33:00,2025-11-01 19:33:00
7,9,ATL-01,DHL,2025-06-27 07:45:00,
8,10,CLT-03,DHL,2025-03-11 00:22:00,2025-03-13 00:22:00
9,11,CLT-03,FedEx,2025-06-11 05:51:00,
10,12,DFW-02,USPS,2025-04-28 01:55:00,2025-05-02 01:55:00
11,13,DFW-02,DHL,2024-11-23 13:05:00,2024-11-26 13:05:00
12,15,ATL-01,DHL,2025-10-04 21:50:00,2025-10-09 21:50:00
13,16,ATL-01,FedEx,2025-05-01 14:48:00,
14,17,ATL-01,DHL,2025-06-25 17:07:00,2025-06-29 17:07:00
15,18,DFW-02,FedEx,2025-09-25 10:42:00,2025-09-27 10:42:00
16,19,ATL-01,UPS,2025-11-10 04:15:00,2025-11-15 04:15:00
17,20,CLT-03,FedEx,2025-05-14 22:46:00,2025-05-16 22:46:00
18,23,DFW-02,UPS,2025-11-02 08:08:00,2025-11-07 08:08:00
19,24,DFW-02,DHL,2025-10-18 17:18:00,2025-10-22 17:18:00
20,25,ATL-01,USPS,2025-04-19 04:20:00,2025-04-23 04:20:00
21,26,ATL-01,UPS,2025-03-08 03:03:00,2025-03-12 03:03:00
22,27,DFW-02,USPS,2025-05-12 14:15:00,2025-05-15 14:15:00
23,28,CLT-03,DHL,2025-05-14 18:35:00,
24,29,CLT-03,DHL,2024-10-11 01:08:00,2024-10-16 01:08:00
25,31,CLT-03,FedEx,2025-08-12 18:36:00,2025-08-14 18:36:00
26,32,CLT-03,USPS,2025-07-15 22:07:00,
27,34,ATL-01,DHL,2025-04-02 09:49:00,2025-04-05 09:49:00
28,35,ATL-01,USPS,2025-11-11 11:49:00,2025-11-13 11:49:00
29,36,ATL-01,FedEx,2025-07-11 08:08:00,
30,37,ATL-01,DHL,2025-08-12 15:30:00,2025-08-14 15:30:00
31,39,CLT-03,USPS,2024-12-12 10:18:00,2024-12-13 10:18:00
32,40,ATL-01,UPS,2025-03-31 21:48:00,
33,41,DFW-02,FedEx,2025-05-06 14:48:00,2025-05-10 14:48:00
34,42,ATL-01,DHL,2025-08-20 22:49:00,2025-08-22 22:49:00
35,43,CLT-03,FedEx,2025-06-04 19:23:00,2025-06-09 19:23:00
36,44,ATL-01,DHL,2025-04-16 16:28:00,
37,45,CLT-03,UPS,2025-07-14 17:29:00,2025-07-17 17:29:00
38,46,ATL-01,FedEx,2025-11-14 02:59:00,2025-11-18 02:59:00
39,48,ATL-01,FedEx,2025-06-05 04:17:00,
40,49,CLT-03,FedEx,2024-12-09 01:28:00,2024-12-11 01:28:00
41,50,DFW-02,USPS,2025-10-09 01:08:00,2025-10-13 01:08:00
42,51,CLT-03,USPS,2025-07-11 18:56:00,2025-07-15 18:56:00
43,52,CLT-03,UPS,2025-05-20 04:19:00,2025-05-23 04:19:00
44,53,CLT-03,FedEx,2025-06-02 11:05:00,2025-06-07 11:05:00
45,55,DFW-02,FedEx,2025-09-06 15:58:00,2025-09-10 15:58:00
46,56,DFW-02,FedEx,2025-04-08 01:36:00,2025-04-10 01:36:00
47,57,ATL-01,UPS,2025-07-07 21:21:00,2025-07-12 21:21:00
48,59,ATL-01,UPS,2025-06-24 11:03:00,2025-06-26 11:03:00
49,60,CLT-03,UPS,2025-01-10 06:39:00,2025-01-13 06:39:00
50,63,ATL-01,USPS,2025-10-26 17:36:00,2025-10-30 17:36:00
51,64,ATL-01,USPS,2025-07-14 18:53:00,2025-07-17 18:53:00
52,65,CLT-03,DHL,2025-11-14 15:14:00,2025-11-16 15:14:00
53,67,ATL-01,FedEx,2024-11-28 17:05:00,2024-12-02 17:05:00
54,68,ATL-01,USPS,2025-04-01 15:09:00,
55,69,DFW-02,USPS,2025-11-02 10:53:00,2025-11-04 10:53:00
56,71,CLT-03,DHL,2025-07-12 18:34:00,
57,72,CLT-03,UPS,2025-05-05 14:38:00,2025-05-07 14:38:00
58,73,DFW-02,FedEx,2025-11-10 21:41:00,2025-11-14 21:41:00
59,74,DFW-02,FedEx,2025-11-14 15:06:00,2025-11-17 15:06:00
60,75,ATL-01,FedEx,2025-06-14 15:06:00,2025-06-19 15:06:00
61,76,CLT-03,DHL,2025-07-11 14:14:00,2025-07-15 14:14:00
62,77,DFW-02,FedEx,2024-08-04 06:13:00,2024-08-07 06:13:00
63,78,CLT-03,UPS,2024-12-17 21:55:00,2024-12-20 21:55:00
64,79,DFW-02,DHL,2024-12-31 03:15:00,2025-01-05 03:15:00
65,81,CLT-03,DHL,2025-10-05 19:03:00,2025-10-10 19:03:00
66,82,CLT-03,DHL,2025-08-21 13:45:00,2025-08-26 13:45:00
67,83,ATL-01,DHL,2025-06-25 18:07:00,2025-06-28 18:07:00
68,84,CLT-03,USPS,2025-11-12 07:13:00,2025-11-15 07:13:00
69,85,CLT-03,FedEx,2025-07-16 16:57:00,2025-07-18 16:57:00
70,86,DFW-02,DHL,2025-01-10 10:53:00,2025-01-13 10:53:00
71,87,DFW-02,FedEx,2025-07-19 23:05:00,2025-07-22 23:05:00
72,88,ATL-01,FedEx,2025-10-08 10:57:00,2025-10-09 10:57:00
73,90,ATL-01,FedEx,2025-04-27 02:23:00,2025-04-28 02:23:00
74,91,DFW-02,USPS,2024-11-17 18:14:00,2024-11-18 18:14:00
75,92,DFW-02,FedEx,2025-04-01 12:49:00,2025-04-05 12:49:00
76,93,DFW-02,USPS,2025-09-09 13:39:00,2025-09-12 13:39:00
77,94,DFW-02,UPS,2025-01-06 08:41:00,
78,95,DFW-02,USPS,2025-06-22 19:04:00,2025-06-27 19:04:00
79,96,DFW-02,UPS,2025-08-18 15:49:00,
80,97,CLT-03,UPS,2025-10-26 04:34:00,2025-10-31 04:34:00
81,98,ATL-01,DHL,2025-08-13 21:47:00,
82,99,ATL-01,USPS,2025-04-23 16:50:00,2025-04-28 16:50:00
83,100,ATL-01,DHL,2025-11-06 20:04:00,2025-11-08 20:04:00
84,102,ATL-01,UPS,2025-03-07 23:20:00,2025-03-09 23:20:00
85,103,ATL-01,DHL,2025-05-15 14:55:00,2025-05-20 14:55:00
86,104,ATL-01,FedEx,2025-07-23 15:49:00,2025-07-26 15:49:00
87,107,DFW-02,DHL,2025-08-06 12:04:00,2025-08-09 12:04:00
88,108,DFW-02,DHL,2025-09-30 10:20:00,2025-10-02 10:20:00
89,110,DFW-02,DHL,2025-09-24 09:52:00,2025-09-25 09:52:00
90,111,CLT-03,UPS,2025-09-09 07:06:00,2025-09-12 07:06:00
91,113,ATL-01,FedEx,2024-10-13 14:03:00,
92,114,ATL-01,FedEx,2025-03-30 13:56:00,2025-04-03 13:56:00
93,116,ATL-01,FedEx,2025-02-22 08:03:00,2025-02-25 08:03:00
94,117,ATL-01,UPS,2025-07-21 23:44:00,2025-07-26 23:44:00
95,118,CLT-03,FedEx,2025-06-12 10:58:00,2025-06-17 10:58:00
96,119,DFW-02,USPS,2024-12-14 16:55:00,2024-12-17 16:55:00
97,120,CLT-03,DHL,2025-11-07 23:27:00,2025-11-08 23:27:00
98,121,ATL-01,USPS,2025-11-11 18:02:00,
99,122,DFW-02,DHL,2025-01-21 02:52:00,2025-01-22 02:52:00
100,123,DFW-02,UPS,2025-05-20 05:56:00,2025-05-23 05:56:00
101,124,ATL-01,DHL,2025-04-21 12:10:00,2025-04-23 12:10:00
102,125,ATL-01,USPS,2025-07-08 23:34:00,2025-07-12 23:34:00
103,126,ATL-01,DHL,2025-08-13 19:30:00,
104,127,DFW-02,DHL,2024-12-20 12:30:00,2024-12-21 12:30:00
105,128,CLT-03,FedEx,2025-03-17 08:36:00,
106,129,ATL-01,FedEx,2024-11-04 12:52:00,2024-11-06 12:52:00
107,130,DFW-02,DHL,2025-02-07 01:27:00,
108,131,CLT-03,DHL,2025-10-14 22:39:00,2025-10-19 22:39:00
109,132,DFW-02,USPS,2025-01-26 12:09:00,2025-01-29 12:09:00
110,133,CLT-03,UPS,2025-06-19 22:43:00,
111,134,ATL-01,DHL,2025-05-29 13:47:00,2025-05-31 13:47:00
112,135,CLT-03,USPS,2025-10-26 22:12:00,2025-10-31 22:12:00
113,136,CLT-03,FedEx,2025-01-19 08:47:00,2025-01-21 08:47:00
114,137,DFW-02,USPS,2025-02-23 07:43:00,2025-02-28 07:43:00
115,138,ATL-01,USPS,2025-10-17 11:29:00,2025-10-21 11:29:00
116,139,CLT-03,DHL,2025-08-06 08:16:00,2025-08-07 08:16:00
117,140,CLT-03,DHL,2025-03-13 13:25:00,2025-03-18 13:25:00
118,141,CLT-03,FedEx,2025-10-29 11:32:00,2025-11-01 11:32:00
119,142,DFW-02,UPS,2025-08-19 10:41:00,
120,143,CLT-03,DHL,2024-10-26 20:37:00,2024-10-30 20:37:00
121,144,CLT-03,DHL,2025-04-08 22:11:00,2025-04-10 22:11:00
122,145,DFW-02,FedEx,2025-05-26 13:30:00,2025-05-27 13:30:00
123,146,DFW-02,USPS,2025-08-18 20:46:00,2025-08-21 20:46:00
124,148,ATL-01,UPS,2025-01-22 11:45:00,2025-01-27 11:45:00
125,149,CLT-03,USPS,2025-10-01 01:44:00,
126,150,DFW-02,FedEx,2025-07-25 04:26:00,2025-07-26 04:26:00
127,151,CLT-03,DHL,2025-02-12 08:53:00,2025-02-14 08:53:00
128,152,CLT-03,UPS,2025-02-28 00:42:00,
129,153,CLT-03,UPS,2025-09-01 08:41:00,2025-09-05 08:41:00
130,154,DFW-02,FedEx,2025-10-05 01:00:00,2025-10-08 01:00:00
131,155,CLT-03,DHL,2025-05-16 14:17:00,2025-05-21 14:17:00
132,158,CLT-03,DHL,2025-08-06 04:53:00,2025-08-11 04:53:00
133,159,CLT-03,FedEx,2025-09-27 02:29:00,2025-10-02 02:29:00
134,160,ATL-01,UPS,2025-08-16 10:23:00,2025-08-20 10:23:00
135,161,DFW-02,FedEx,2025-08-13 00:21:00,2025-08-14 00:21:00
136,162,DFW-02,FedEx,2024-12-21 12:13:00,2024-12-25 12:13:00
137,164,CLT-03,USPS,2025-07-28 10:32:00,2025-08-02 10:32:00
138,165,CLT-03,DHL,2025-08-23 10:45:00,2025-08-26 10:45:00
139,166,DFW-02,USPS,2025-07-15 21:45:00,2025-07-17 21:45:00
140,167,ATL-01,UPS,2025-10-04 22:50:00,2025-10-09 22:50:00
141,168,ATL-01,UPS,2025-03-08 19:55:00,2025-03-10 19:55:00
142,169,ATL-01,USPS,2024-10-10 08:35:00,2024-10-11 08:35:00
143,170,ATL-01,DHL,2024-10-21 20:39:00,2024-10-26 20:39:00
144,171,CLT-03,UPS,2025-07-05 02:22:00,2025-07-10 02:22:00
145,173,ATL-01,FedEx,2025-06-22 15:02:00,2025-06-23 15:02:00
146,174,DFW-02,UPS,2025-08-18 03:13:00,2025-08-20 03:13:00
147,175,CLT-03,UPS,2025-09-27 08:26:00,2025-09-30 08:26:00
148,176,CLT-03,FedEx,2025-09-19 09:38:00,
149,177,CLT-03,DHL,2025-08-16 23:41:00,2025-08-17 23:41:00
150,178,CLT-03,UPS,2025-07-05 02:19:00,2025-07-07 02:19:00
151,179,CLT-03,DHL,2025-09-07 17:29:00,2025-09-09 17:29:00
152,180,DFW-02,USPS,2025-04-16 04:42:00,2025-04-20 04:42:00
153,181,DFW-02,USPS,2025-08-14 22:37:00,
154,182,CLT-03,FedEx,2025-04-06 17:06:00,
155,183,CLT-03,FedEx,2024-10-04 08:34:00,2024-10-06 08:34:00
156,184,CLT-03,FedEx,2025-06-24 14:10:00,
157,185,CLT-03,UPS,2025-10-23 11:24:00,2025-10-26 11:24:00
158,186,CLT-03,USPS,2025-03-08 07:33:00,2025-03-13 07:33:00
159,187,DFW-02,DHL,2025-01-12 05:23:00,2025-01-13 05:23:00
160,188,CLT-03,UPS,2025-02-16 05:41:00,2025-02-18 05:41:00
161,189,CLT-03,DHL,2025-07-15 01:10:00,2025-07-19 01:10:00
162,190,CLT-03,UPS,2025-06-15 07:53:00,2025-06-19 07:53:00
163,192,ATL-01,USPS,2025-08-11 19:34:00,2025-08-15 19:34:00
164,193,ATL-01,DHL,2025-09-13 02:18:00,2025-09-14 02:18:00
165,194,CLT-03,FedEx,2025-07-20 08:54:00,2025-07-24 08:54:00
166,195,ATL-01,FedEx,2025-10-11 03:47:00,2025-10-12 03:47:00
167,196,CLT-03,UPS,2025-10-27 13:05:00,
168,197,CLT-03,FedEx,2025-09-13 05:40:00,2025-09-18 05:40:00
169,198,CLT-03,DHL,2025-01-25 01:23:00,2025-01-28 01:23:00
170,199,CLT-03,USPS,2025-07-20 16:00:00,2025-07-25 16:00:00
171,200,CLT-03,UPS,2025-11-04 08:14:00,2025-11-08 08:14:00
172,202,CLT-03,USPS,2024-09-21 03:16:00,
173,203,CLT-03,FedEx,2025-03-27 12:43:00,2025-03-29 12:43:00
174,204,CLT-03,UPS,2025-09-03 07:47:00,2025-09-07 07:47:00
175,205,CLT-03,UPS,2025-10-09 01:54:00,2025-10-13 01:54:00
176,206,ATL-01,FedEx,2025-04-21 21:49:00,
177,207,DFW-02,FedEx,2025-07-18 10:23:00,2025-07-22 10:23:00
178,208,ATL-01,FedEx,2025-08-26 11:23:00,2025-08-30 11:23:00
179,209,CLT-03,UPS,2025-11-04 04:30:00,2025-11-07 04:30:00
180,210,ATL-01,DHL,2024-12-07 05:03:00,2024-12-10 05:03:00
181,211,ATL-01,USPS,2025-04-24 21:38:00,
182,212,DFW-02,USPS,2025-08-03 18:25:00,2025-08-06 18:25:00
183,213,ATL-01,FedEx,2025-03-18 20:25:00,2025-03-19 20:25:00
184,214,CLT-03,FedEx,2024-12-10 02:59:00,2024-12-14 02:59:00
185,216,DFW-02,DHL,2025-11-02 17:11:00,2025-11-05 17:11:00
186,217,DFW-02,UPS,2025-01-17 00:00:00,2025-01-21 00:00:00
187,218,DFW-02,DHL,2025-05-28 09:38:00,2025-06-02 09:38:00
188,219,DFW-02,UPS,2025-01-20 23:41:00,2025-01-22 23:41:00
189,220,ATL-01,UPS,2025-06-06 14:17:00,2025-06-07 14:17:00
190,221,ATL-01,USPS,2024-09-02 06:21:00,2024-09-04 06:21:00
191,223,CLT-03,UPS,2025-09-02 03:33:00,2025-09-07 03:33:00
192,224,DFW-02,UPS,2025-06-13 09:12:00,2025-06-17 09:12:00
193,225,ATL-01,DHL,2025-09-19 18:07:00,2025-09-21 18:07:00
194,227,ATL-01,DHL,2025-08-24 03:08:00,2025-08-27 03:08:00
195,228,CLT-03,FedEx,2025-05-28 09:34:00,2025-05-29 09:34:00
